iter	RMSE
0	1.712359052
1	1.691903792
2	1.671527741
3	1.66093067
4	1.648827815
5	1.63021559
6	1.61329397
7	1.599334119
8	1.586541454
9	1.572710565
10	1.56456471
11	1.549971105
12	1.541503585
13	1.53429688
14	1.527425429
15	1.51436491
16	1.499965344
17	1.489329395
18	1.48347653
19	1.478509391
20	1.469422029
21	1.461593091
22	1.454720646
23	1.449113995
24	1.440853906
25	1.437267356
26	1.433521875
27	1.426866485
28	1.420202166
29	1.417948019
30	1.410870782
31	1.403869371
32	1.39703908
33	1.390297092
34	1.387976808
35	1.38432082
36	1.378598873
37	1.372754204
38	1.365922622
39	1.362067549
40	1.358079003
41	1.356002634
42	1.353738707
43	1.350317451
44	1.34696003
45	1.341645094
46	1.335859782
47	1.333841315
48	1.332268739
49	1.329166368
50	1.327634944
51	1.327474714
52	1.323194568
53	1.322126427
54	1.320025764
55	1.318153246
56	1.308341982
57	1.305680111
58	1.293113514
59	1.28610904
60	1.283892511
61	1.269641223
62	1.267952076
63	1.266859003
64	1.266632868
65	1.260926192
66	1.258567156
67	1.253610844
68	1.253462711
69	1.252902419
70	1.248335586
71	1.246699897
72	1.241609612
73	1.232413735
74	1.229158006
75	1.226351722
76	1.220814068
77	1.218229653
78	1.215042722
79	1.206742067
80	1.205713196
81	1.204990894
82	1.20355731
83	1.201007271
84	1.199387134
85	1.192762316
86	1.191623056
87	1.186686259
88	1.185890077
89	1.179191183
90	1.174573257
91	1.173549762
92	1.170423823
93	1.169823642
94	1.166967296
95	1.164606514
96	1.161095036
97	1.159934377
98	1.158540861
99	1.148498999
100	1.145738966
101	1.141802543
102	1.137328314
103	1.130448141
104	1.129074427
105	1.123457538
106	1.11835101
107	1.115278566
108	1.108085921
109	1.105779415
110	1.104052032
111	1.100596136
112	1.093826189
113	1.089979643
114	1.081586944
115	1.078177026
116	1.076141753
117	1.072314864
118	1.069125744
119	1.061140771
120	1.054022769
121	1.052706267
122	1.050933449
123	1.046470242
124	1.03896306
125	1.036116376
126	1.029729585
127	1.022591023
128	1.018252037
129	1.016909972
130	1.008901893
131	1.00633698
132	1.004179757
133	0.9986461181
134	0.9926621193
135	0.9889201383
136	0.9813917659
137	0.974447925
138	0.970995481
139	0.9644405028
140	0.9618384896
141	0.9585122856
142	0.9560079125
143	0.9526049711
144	0.9502240573
145	0.9456464693
146	0.9427844527
147	0.9404447283
148	0.9377087148
149	0.932928865
150	0.928817273
151	0.9248885683
152	0.9225981445
153	0.9194740193
154	0.9163435828
155	0.9150880985
156	0.9086539494
157	0.9081745167
158	0.9056158097
159	0.9046533406
160	0.9034642864
161	0.8995758931
162	0.898753958
163	0.8970999848
164	0.8921825511
165	0.8910897559
166	0.8887881506
167	0.8863085862
168	0.8842874251
169	0.8825575391
170	0.8814980185
171	0.8796585746
172	0.8793474733
173	0.8768889745
174	0.8753080459
175	0.8731552468
176	0.8706970094
177	0.8642999543
178	0.8618011509
179	0.8557985272
180	0.8528882859
181	0.8508840756
182	0.8479046418
183	0.8424870229
184	0.8394817827
185	0.839068367
186	0.8347032017
187	0.8321891802
188	0.8303012307
189	0.8276975057
190	0.8237982702
191	0.8232105406
192	0.8201616928
193	0.8180166643
194	0.8163898765
195	0.815270844
196	0.8148830028
197	0.814494534
198	0.81383593
199	0.8122534224
200	0.8104495471
201	0.8075391732
202	0.8057443281
203	0.8045369586
204	0.8040963707
205	0.7993648786
206	0.7977063235
207	0.7957146756
208	0.7955131602
209	0.7907631544
210	0.7891029809
211	0.7886033867
212	0.787246583
213	0.7857829247
214	0.7849473076
215	0.7840039598
216	0.782336957
217	0.7821142983
218	0.7811369004
219	0.7765117682
220	0.7757995499
221	0.7714472661
222	0.7678537858
223	0.7675043115
224	0.7671974728
225	0.763098909
226	0.7592722091
227	0.7591314232
228	0.7557814714
229	0.7521853967
230	0.7503529106
231	0.7499492024
232	0.7496994887
233	0.7483175396
234	0.7479875929
235	0.7453307712
236	0.7447390628
237	0.7431630544
238	0.7404026602
239	0.7385815196
240	0.7354156628
241	0.7348586882
242	0.7317541262
243	0.7302536343
244	0.7249745188
245	0.7247090398
246	0.7242008052
247	0.7238281286
248	0.7233490631
249	0.7228466702
250	0.7208748212
251	0.7175908027
252	0.7167639329
253	0.7165676702
254	0.7157471736
255	0.7131286116
256	0.7122191257
257	0.7109233523
258	0.7094798561
259	0.7084393063
260	0.7073438705
261	0.7063179572
262	0.7048127772
263	0.7046240734
264	0.7040615106
265	0.7014941201
266	0.6981187444
267	0.697292605
268	0.6970703527
269	0.6927296863
270	0.6914839108
271	0.6912269488
272	0.6900768624
273	0.6894980994
274	0.68837669
275	0.6859688309
276	0.6858196755
277	0.6855706365
278	0.6824027515
279	0.6788843928
280	0.6775266532
281	0.6758924364
282	0.6743589624
283	0.674204786
284	0.6699968924
285	0.668749739
286	0.6672826636
287	0.6655780437
288	0.6647895456
289	0.6641081685
290	0.6635468463
291	0.6618356127
292	0.6616662744
293	0.6590678562
294	0.6585202799
295	0.6583249181
296	0.6579168604
297	0.6570216736
298	0.6557468056
299	0.652040197
300	0.6512741184
301	0.649954967
302	0.6495992531
303	0.6488243975
304	0.6475241404
305	0.6472519055
306	0.6440664197
307	0.6434587232
308	0.6425020836
309	0.6420581528
310	0.6403877847
311	0.6395043451
312	0.6354950676
313	0.6314276322
314	0.6285673732
315	0.6264331191
316	0.6239470129
317	0.6225345684
318	0.6202945197
319	0.6197498611
320	0.6185244476
321	0.6178089077
322	0.6169365293
323	0.61517796
324	0.6145652218
325	0.6138247596
326	0.613532961
327	0.6125187694
328	0.6109599274
329	0.6101506532
330	0.6083896351
331	0.6066161533
332	0.6061048843
333	0.6059495685
334	0.6050138988
335	0.6046832679
336	0.6023284926
337	0.6020965222
338	0.6007532287
339	0.600115292
340	0.5991013779
341	0.5987673092
342	0.5943973393
343	0.5938609421
344	0.5922029086
345	0.5916846744
346	0.5873754484
347	0.5870642029
348	0.5857917317
349	0.5854603836
350	0.5851957384
351	0.5843250517
352	0.5838626626
353	0.5832932721
354	0.5829117831
355	0.5823508445
356	0.5816815009
357	0.5791313164
358	0.5781582655
359	0.5755641385
360	0.5743145168
361	0.5742580924
362	0.5720639393
363	0.5694615349
364	0.5675572877
365	0.5657967318
366	0.5638327592
367	0.5626351381
368	0.562427987
369	0.5615457471
370	0.5594324045
371	0.5584784575
372	0.5576535151
373	0.5569830045
374	0.5562482977
375	0.5560612586
376	0.5551727748
377	0.5546905602
378	0.5538395579
379	0.5530997366
380	0.5512464407
381	0.550598692
382	0.5501545625
383	0.5496041033
384	0.5486400458
385	0.5470669144
386	0.5464971666
387	0.54601518
388	0.543882188
389	0.5421515089
390	0.5414595465
391	0.5406508757
392	0.5401880872
393	0.5400471005
394	0.5393867787
395	0.538119898
396	0.5372033166
397	0.5362254645
398	0.5340673526
399	0.5332991159
400	0.5319063898
401	0.5315717572
402	0.5312382124
403	0.5310106768
404	0.5308280636
405	0.5289469248
406	0.5275712245
407	0.5272710123
408	0.5270528455
409	0.5265463196
410	0.5253366138
411	0.5248395539
412	0.5244635844
413	0.5220171305
414	0.5188077316
415	0.5171990108
416	0.5163057765
417	0.5157067859
418	0.5148874376
419	0.5145325958
420	0.5143695629
421	0.5133261938
422	0.5122498306
423	0.5107099144
424	0.5105095094
425	0.5103106575
426	0.5087080325
427	0.5085251216
428	0.5074088146
429	0.5068630949
430	0.5059682123
431	0.5055816815
432	0.5052622752
433	0.5039543459
