iter	Passed	Remaining
0	80	161412
1	122	122601
2	228	152322
3	262	131115
4	364	145530
5	466	155113
6	574	163591
7	668	166356
8	763	168922
9	859	171063
10	906	163997
11	1005	166633
12	1064	162757
13	1124	159476
14	1384	183211
15	1494	185290
16	1634	190623
17	1755	193283
18	1818	189578
19	1920	190107
20	1981	186723
21	2056	184926
22	2106	181051
23	2138	176082
24	2251	177838
25	2277	172888
26	2296	167810
27	2367	166771
28	2475	168274
29	2528	166016
30	2609	165756
31	2641	162423
32	2681	159834
33	2753	159213
34	2806	157584
35	2937	160263
36	3037	161131
37	3101	160131
38	3153	158558
39	3229	158258
40	3297	157571
41	3376	157422
42	3527	160549
43	3599	160026
44	3684	160052
45	3767	160027
46	3875	161055
47	3908	158947
48	3984	158637
49	4139	161431
50	4182	159830
51	4223	158226
52	4330	159080
53	4364	157300
54	4396	155462
55	4450	154508
56	4560	155451
57	4661	156085
58	4809	158231
59	4906	158642
60	4997	158864
61	5087	159028
62	5177	159185
63	5199	157271
64	5216	155280
65	5306	155487
66	5345	154222
67	5432	154352
68	5453	152620
69	5483	151198
70	5556	150955
71	5627	150692
72	5715	150869
73	5804	151078
74	5893	151269
75	5955	150768
76	6043	150932
77	6136	151201
78	6226	151418
79	6313	151532
80	6364	150785
81	6430	150413
82	6583	152056
83	6730	153514
84	6867	154709
85	6962	154954
86	7077	155621
87	7177	155954
88	7234	155346
89	7368	156365
90	7553	158462
91	7625	158147
92	7707	158045
93	7772	157595
94	7844	157299
95	7952	157722
96	8045	157832
97	8076	156755
98	8182	157113
99	8296	157635
100	8400	157938
101	8495	158076
102	8596	158334
103	8707	158736
104	8790	158644
105	8933	159625
106	9105	161098
107	9230	161711
108	9378	162699
109	9467	162677
110	9556	162631
111	9653	162736
112	9738	162621
113	9822	162507
114	9910	162451
115	9996	162353
116	10086	162326
117	10147	161849
118	10231	161726
119	10316	161621
120	10415	161741
121	10519	161935
122	10624	162131
123	10745	162563
124	10836	162543
125	10928	162545
126	11019	162519
127	11114	162551
128	11216	162679
129	11286	162353
130	11426	163024
131	11595	164092
132	11694	164163
133	11816	164548
134	11949	165086
135	12047	165121
136	12136	165037
137	12213	164800
138	12296	164636
139	12376	164432
140	12460	164282
141	12544	164137
142	12630	164014
143	12713	163860
144	12793	163671
145	12879	163550
146	12967	163455
147	13061	163451
148	13149	163355
149	13241	163310
150	13323	163144
151	13408	163014
152	13494	162903
153	13583	162825
154	13674	162774
155	13763	162695
156	13940	163650
157	14041	163694
158	14123	163526
159	14211	163429
160	14298	163320
161	14383	163195
162	14465	163022
163	14549	162878
164	14649	162925
165	14774	163231
166	14864	163152
167	14958	163122
168	15067	163245
169	15193	163558
170	15296	163606
171	15393	163599
172	15460	163276
173	15545	163136
174	15632	163021
175	15709	162809
176	15792	162652
177	15875	162496
178	15983	162598
179	16071	162497
180	16160	162409
181	16297	162797
182	16417	163006
183	16521	163060
184	16665	163501
185	16770	163559
186	16858	163444
187	17021	164060
188	17117	164020
189	17219	164034
190	17315	164001
191	17463	164444
192	17639	165152
193	17803	165740
194	17899	165683
195	17997	165646
196	18087	165537
197	18191	165561
198	18281	165449
199	18367	165305
200	18452	165153
201	18567	165268
202	18736	165858
203	18892	166332
204	18977	166167
205	19059	165986
206	19139	165784
207	19226	165644
208	19308	165464
209	19391	165287
210	19473	165110
211	19542	164817
212	19628	164674
213	19729	164655
