,dtype,n_missing,pct_missing,n_unique
dedicated_power_plant,float64,1259,0.9992063492063492,1
number_of_generators,float64,1259,0.9992063492063492,1
info_source_8,object,1255,0.996031746031746,5
info_source_7,object,1249,0.9912698412698413,11
cooling_type,object,1244,0.9873015873015873,3
tenant,object,1243,0.9865079365079366,11
cooling_source,object,1241,0.984920634920635,3
info_source_6,object,1235,0.9801587301587301,25
power_source,object,1230,0.9761904761904762,7
purpose,object,1228,0.9746031746031746,7
expected_date_online,object,1224,0.9714285714285714,9
info_source_5,object,1223,0.9706349206349206,37
status_detail,object,1198,0.9507936507936507,5
info_source_4,object,1196,0.9492063492063492,63
number_of_buildings,object,1183,0.9388888888888889,24
info_source_3,object,1110,0.8809523809523809,148
project_cost,object,1088,0.8634920634920635,99
mw_high,object,857,0.6801587301587302,148
other_info,object,807,0.6404761904761904,271
county,object,771,0.611904761904762,103
info_source_2,object,741,0.5880952380952381,490
operator,object,599,0.4753968253968254,353
property_size_acres,object,575,0.45634920634920634,309
facility_size_sq_ft,object,474,0.3761904761904762,584
info_source_1,object,121,0.09603174603174604,955
date_updated,object,102,0.08095238095238096,113
address,object,67,0.05317460317460317,1181
zip,float64,35,0.027777777777777776,637
city,object,6,0.004761904761904762,565
location_confidence,object,6,0.004761904761904762,3
lat,float64,3,0.002380952380952381,1242
name,object,3,0.002380952380952381,1090
date_created,object,3,0.002380952380952381,131
sizerank_numeric,float64,3,0.002380952380952381,6
long,float64,2,0.0015873015873015873,1236
facility_id,object,0,0.0,1260
state,object,0,0.0,45
sizerank,object,0,0.0,6
status,object,0,0.0,6
location_determination,object,0,0.0,3
